route_id,shape_id,direction_id,stop_id,stop_sequence,timepoint
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_00,0,1
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_04,1,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_05,2,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_06,3,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_07,4,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_08,5,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_09,6,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_10,7,0
bUCR_L2,desde_educacion_sin_milla,0,UCR_0_11,8,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_00,0,1
bUCR_L1,desde_educacion_con_milla,0,UCR_0_02,1,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_03,2,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_04,3,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_05,4,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_06,5,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_07,6,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_08,7,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_09,8,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_10,9,0
bUCR_L1,desde_educacion_con_milla,0,UCR_0_11,10,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_01,0,1
bUCR_L2,desde_artes_sin_milla,0,UCR_0_04,1,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_05,2,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_06,3,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_07,4,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_08,5,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_09,6,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_10,7,0
bUCR_L2,desde_artes_sin_milla,0,UCR_0_11,8,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_01,0,1
bUCR_L1,desde_artes_con_milla,0,UCR_0_02,1,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_03,2,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_04,3,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_05,4,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_06,5,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_07,6,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_08,7,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_09,8,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_10,9,0
bUCR_L1,desde_artes_con_milla,0,UCR_0_11,10,0
bUCR_L1,hacia_educacion,1,UCR_1_00,0,1
bUCR_L1,hacia_educacion,1,UCR_1_01,1,0
bUCR_L1,hacia_educacion,1,UCR_1_02,2,0
bUCR_L1,hacia_educacion,1,UCR_1_03,3,0
bUCR_L1,hacia_educacion,1,UCR_1_04,4,0
bUCR_L1,hacia_educacion,1,UCR_1_05,5,0
bUCR_L1,hacia_educacion,1,UCR_1_06,6,0
bUCR_L1,hacia_educacion,1,UCR_1_07,7,0
bUCR_L1,hacia_educacion,1,UCR_1_08,8,0
bUCR_L1,hacia_educacion,1,UCR_1_09,9,0
bUCR_L1,hacia_artes,1,UCR_1_00,0,1
bUCR_L1,hacia_artes,1,UCR_1_01,1,0
bUCR_L1,hacia_artes,1,UCR_1_02,2,0
bUCR_L1,hacia_artes,1,UCR_1_03,3,0
bUCR_L1,hacia_artes,1,UCR_1_04,4,0
bUCR_L1,hacia_artes,1,UCR_1_05,5,0
bUCR_L1,hacia_artes,1,UCR_1_06,6,0
bUCR_L1,hacia_artes,1,UCR_1_07,7,0
bUCR_L1,hacia_artes,1,UCR_1_08,8,0
bUCR_L1,hacia_artes,1,UCR_1_10,10,0